property_type,listing_type,price,area_sqft,bhk,bedrooms,floor,total_floors,property_age_years,furnishing,parking,city,amenities,title,description
house,sale,33521000.0,3492,3,3,6,15,18,unfurnished,2,Jayanagar,power backup|clubhouse|gym,3 BHK House for Sale in Jayanagar,"Beautiful 3 BHK house for sale in Jayanagar, Bangalore. Area: 3492 sqft. Unfurnished. Floor 6/15. Age: 18 yrs. Amenities: power backup, clubhouse, gym."
apartment,rent,55000.0,3785,3,3,5,17,11,furnished,0,Electronic City,gym|clubhouse|lift,3 BHK Apartment for Rent in Electronic City,"Beautiful 3 BHK apartment for rent in Electronic City, Bangalore. Area: 3785 sqft. Furnished. Floor 5/17. Age: 11 yrs. Amenities: gym, clubhouse, lift."
apartment,rent,80000.0,3956,2,2,2,8,20,furnished,2,Vijayanagar,parking|clubhouse,2 BHK Apartment for Rent in Vijayanagar,"Beautiful 2 BHK apartment for rent in Vijayanagar, Bangalore. Area: 3956 sqft. Furnished. Floor 2/8. Age: 20 yrs. Amenities: parking, clubhouse."
apartment,sale,8110000.0,1175,3,3,14,16,13,furnished,1,Hennur,parking|gym|garden|security,3 BHK Apartment for Sale in Hennur,"Beautiful 3 BHK apartment for sale in Hennur, Bangalore. Area: 1175 sqft. Furnished. Floor 14/16. Age: 13 yrs. Amenities: parking, gym, garden, security."
plot,rent,16000.0,1215,3,3,14,19,22,furnished,1,Sarjapur Road,parking|gym|clubhouse|security|power backup,3 BHK Plot for Rent in Sarjapur Road,"Beautiful 3 BHK plot for rent in Sarjapur Road, Bangalore. Area: 1215 sqft. Furnished. Floor 14/19. Age: 22 yrs. Amenities: parking, gym, clubhouse, security, power backup."
apartment,rent,54000.0,2968,1,1,7,7,11,unfurnished,2,Bellandur,security|swimming pool|garden,1 BHK Apartment for Rent in Bellandur,"Beautiful 1 BHK apartment for rent in Bellandur, Bangalore. Area: 2968 sqft. Unfurnished. Floor 7/7. Age: 11 yrs. Amenities: security, swimming pool, garden."
plot,rent,69000.0,3504,2,2,6,12,23,furnished,2,Hebbal,swimming pool|security|garden|gym,2 BHK Plot for Rent in Hebbal,"Beautiful 2 BHK plot for rent in Hebbal, Bangalore. Area: 3504 sqft. Furnished. Floor 6/12. Age: 23 yrs. Amenities: swimming pool, security, garden, gym."
house,sale,13310000.0,1270,3,3,10,18,14,unfurnished,1,Indiranagar,clubhouse|swimming pool,3 BHK House for Sale in Indiranagar,"Beautiful 3 BHK house for sale in Indiranagar, Bangalore. Area: 1270 sqft. Unfurnished. Floor 10/18. Age: 14 yrs. Amenities: clubhouse, swimming pool."
apartment,sale,8596000.0,1459,3,3,12,19,6,unfurnished,2,Marathahalli,security|parking|power backup|clubhouse,3 BHK Apartment for Sale in Marathahalli,"Beautiful 3 BHK apartment for sale in Marathahalli, Bangalore. Area: 1459 sqft. Unfurnished. Floor 12/19. Age: 6 yrs. Amenities: security, parking, power backup, clubhouse."
apartment,rent,41000.0,2438,2,2,11,19,6,semi-furnished,0,Sarjapur Road,swimming pool,2 BHK Apartment for Rent in Sarjapur Road,"Beautiful 2 BHK apartment for rent in Sarjapur Road, Bangalore. Area: 2438 sqft. Semi-Furnished. Floor 11/19. Age: 6 yrs. Amenities: swimming pool."
